Termék neve,sku,Ár,Maximális videófelbontás,Maximális képkockasebesség,Tervezett lefedettség,Látószög (fokban),GPS pozíció naplózás,Hangfelvétel,Nyelvek,Nappali/éjszakai mód,Videórészlet kiválasztása,Tanúsítvány,Memóriakártya típusa,Objektívek száma,Működési hőmérséklet,Garancia
SMARTWitness CRX |8-csatornás 4G Fleet Video és Data Recording System,SM1,195 030 Ft,1080p (1920x1080) Full HD,30 FPS,Legfeljebb 8 egyedi szög,140-159°,"Opcionális, beleértve","Igen, letilthatók",Angol/spanyol/kínai/orosz,Igen,Nem,"FCC, CE, RoHS",1TB or 2TB SSD,1-8,-10° C − 60° C (14° F − 140° F),2 éves gyártó
Smartwitness CP4S |4-csatornás 4G digitális videofelvevő rendszer flottákhoz,Sm2,47 480 Ft,1080p (1920x1080) Full HD,15 FPS,Legfeljebb 4 egyedi szög,360°,"Igen, beépített",Igen,Angol/spanyol/kínai/orosz,Igen,Nem,"FCC, CE, RoHS","SD, 128/258gb, Class 10",1-4,-10° C − 55° C (14° F − 131° F),2 éves gyártó
Smartwitness KP2 kettős arcú flotta telematika 4G LTE Dash Cam w/ ADAS & DMS,Sm3,39 530 Ft,1080p (1920x1080) Full HD,30 FPS,Elülső + belső,120-139°,"Igen, beépített","Igen, letilthatók",angol,Igen,Nem,"RoHS, FCC, CE, IC, UKCA, E-Mark, ISO","SD, 64/128gb, Class 10",1-2,-10° C − 55° C (14° F − 131° F),2 éves gyártó
Blackvue DR970X-Box-IR-Plus Dash Cam |A diszkrét és a biztonságos előlap + belső felvétel érdekében,Bl24,191 290 Ft,4K (3840x2160) UHD,30 FPS,Elülső + belső,160-180°,"Igen, beépített","Igen, letilthatók",angol,Igen,1 perc,"FCC, IC, CE, UKCA, RCM, Telec, WEEE, RoHS","MicroSD, 64/128/256/512gb, Class 10",2,-20°C – 70°C (-4°F – 158°F ),2 éves gyártó
Blackvue DR970x-Box-plus Dash Cam |Diszkrét és biztonságos elülső + hátsó felvétel érdekében,Bl25,180 260 Ft,4K (3840x2160) UHD,30 FPS,Elülső hátul,140-159°,"Igen, beépített","Igen, letilthatók",angol,Automatikus,2 perc,"FCC, IC, CE, UKCA, RCM, Telec, WEEE, RoHS","MicroSD, 64/128/256/512gb, Class 10",2,-20°C – 70°C (-4°F – 158°F ),2 éves gyártó
Garmin Dash CAM X110 |Compact 1080p felvétel hangvezérléssel,Ga4,72 100 Ft,1080p (1920x1080) Full HD,30 FPS,Csak elöl,140-159°,"Igen, beépített","Igen, letilthatók",angol,Igen,,"FCC, CE","MicroSD, 8/16/32/64/128/256/512gb, Class 10",1,-20° C − 55° C (-4° F − 141° F),1 éves gyártó
Garmin Dash Cam Mini 3 |Szuper kompakt hangvezérelt műszerfal,Ga5,55 140 Ft,1080p (1920x1080) Full HD,30 FPS,Csak elöl,140-159°,Nem,"Igen, letilthatók",angol,Igen,,"FCC, CE","MicroSD, 8/16/32/64/128/256/512gb, Class 10",1,-20° C − 55° C (-4° F − 141° F),1 éves gyártó
Blackvue DR970x-2CH plus Ultimate Dash Cam Bundle,Bl6,347 800 Ft,4K (3840x2160) UHD,30 FPS,Elülső hátul,160-180°,"Igen, beépített","Igen, letilthatók",angol,Igen,1/2/3 perc,"FCC, CE, TELEC, RoHS, KCC, WEEE","MicroSD, 64/128/256gb, Class 10",2,-20° C − 70° C (-4° F − 158° F),2 éves gyártó
Blackvue DR590X-2CH-Plus 1080p Dual Lens Dash Cam elülső és hátul wifi,Bl7,86 530 Ft,1080p (1920x1080) Full HD,30 FPS,Elülső hátul,120-139°,"Opcionális, kiegészítő","Igen, letilthatók",angol,,1/2/3 perc,"FCC, CE, TELEC, RoHS, KCC, WEEE","MicroSD, 32/64/128/256gb, Class 10",2,-20° C − 70° C (-4° F − 158° F),2 éves gyártó
Blackvue DR590X-1CH 1080p 60fps Egy lencse wifi,Bl8,57 680 Ft,1080p (1920x1080) Full HD,60 FPS,Csak elöl,120-139°,"Opcionális, kiegészítő","Igen, letilthatók",angol,Igen,Állítható,"FCC, CE, RoHS","MicroSD, 32/64/128/256gb, Class 10",1-2,-20° C − 70° C (-4° F − 158° F),2 éves gyártó
